總日照 (小時)  - 京士柏
Total Bright Sunshine (hours) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2025,9,9,1.4,C
2025,9,10,6.1,C
2025,9,11,5.6,C
2025,9,12,10.3,C
2025,9,13,11.1,C
2025,9,14,8.4,C
2025,9,15,8.6,C
2025,9,16,6.7,C
2025,9,17,6.7,C
2025,9,18,8.2,C
2025,9,19,0.0,C
2025,9,20,0.0,C
2025,9,21,0.0,C
2025,9,22,8.6,C
2025,9,23,0.6,C
2025,9,24,0.0,C
2025,9,25,2.2,C
2025,9,26,10.0,C
2025,9,27,11.1,C
2025,9,28,6.1,C
2025,9,29,10.2,C
2025,9,30,10.1,C
2025,10,1,10.7,C
2025,10,2,10.9,C
2025,10,3,10.1,C
2025,10,4,6.9,C
2025,10,5,1.3,C
2025,10,6,5.3,C
2025,10,7,10.0,C
2025,10,8,9.7,C
2025,10,9,9.9,C
2025,10,10,6.1,C
2025,10,11,10.1,C
2025,10,12,1.7,C
2025,10,13,8.0,C
2025,10,14,9.7,C
2025,10,15,10.3,C
2025,10,16,8.9,C
2025,10,17,8.6,C
2025,10,18,9.5,C
2025,10,19,7.0,C
2025,10,20,3.0,C
2025,10,21,0.1,C
2025,10,22,0.0,C
2025,10,23,0.2,C
2025,10,24,3.8,C
2025,10,25,6.9,C
2025,10,26,9.1,C
2025,10,27,0.0,C
2025,10,28,0.0,C
2025,10,29,0.5,C
2025,10,30,5.6,C
2025,10,31,5.4,C
2025,11,1,2.3,C
2025,11,2,4.5,C
2025,11,3,1.3,C
2025,11,4,0.0,C
2025,11,5,8.0,C
2025,11,6,4.4,C
2025,11,7,0.0,C
2025,11,8,9.4,C
2025,11,9,7.2,C
2025,11,10,9.4,C
2025,11,11,0.0,C
2025,11,12,8.7,C
2025,11,13,2.5,C
2025,11,14,7.8,C
2025,11,15,6.2,C
2025,11,16,9.5,C
2025,11,17,9.9,C
2025,11,18,5.0,C
2025,11,19,0.7,C
2025,11,20,0.0,C
2025,11,21,6.0,C
2025,11,22,9.9,C
2025,11,23,8.8,C
2025,11,24,6.9,C
2025,11,25,9.7,C
2025,11,26,9.6,C
2025,11,27,7.1,C
2025,11,28,9.8,C
2025,11,29,8.6,C
2025,11,30,0.6,C
2025,12,1,4.3,C
2025,12,2,3.6,C
2025,12,3,0.8,C
2025,12,4,1.4,C
2025,12,5,8.0,C
2025,12,6,8.5,C
2025,12,7,4.7,C
2025,12,8,9.6,C
2025,12,9,9.6,C
2025,12,10,0.0,C
2025,12,11,6.1,C
2025,12,12,8.8,C
2025,12,13,0.6,C
2025,12,14,2.3,C
2025,12,15,9.5,C
2025,12,16,9.5,C
2025,12,17,9.5,C
2025,12,18,5.7,C
2025,12,19,3.8,C
2025,12,20,5.2,C
2025,12,21,9.4,C
2025,12,22,3.8,C
2025,12,23,0.7,C
2025,12,24,5.5,C
2025,12,25,3.9,C
2025,12,26,0.0,C
2025,12,27,7.6,C
2025,12,28,5.5,C
2025,12,29,7.2,C
2025,12,30,6.3,C
2025,12,31,4.6,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
