平均相對濕度(百分比) - 京士柏
Mean Relative Humidity (%) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2025,4,18,93,C
2025,4,19,87,C
2025,4,20,81,C
2025,4,21,80,C
2025,4,22,79,C
2025,4,23,79,C
2025,4,24,79,C
2025,4,25,90,C
2025,4,26,87,C
2025,4,27,94,C
2025,4,28,85,C
2025,4,29,63,C
2025,4,30,77,C
2025,5,1,84,C
2025,5,2,75,C
2025,5,3,82,C
2025,5,4,83,C
2025,5,5,81,C
2025,5,6,83,C
2025,5,7,90,C
2025,5,8,89,C
2025,5,9,83,C
2025,5,10,75,C
2025,5,11,53,C
2025,5,12,53,C
2025,5,13,74,C
2025,5,14,80,C
2025,5,15,81,C
2025,5,16,85,C
2025,5,17,80,C
2025,5,18,79,C
2025,5,19,80,C
2025,5,20,78,C
2025,5,21,76,C
2025,5,22,75,C
2025,5,23,78,C
2025,5,24,75,C
2025,5,25,64,C
2025,5,26,63,C
2025,5,27,68,C
2025,5,28,85,C
2025,5,29,92,C
2025,5,30,89,C
2025,5,31,83,C
2025,6,1,85,C
2025,6,2,84,C
2025,6,3,82,C
2025,6,4,88,C
2025,6,5,79,C
2025,6,6,79,C
2025,6,7,78,C
2025,6,8,79,C
2025,6,9,76,C
2025,6,10,73,C
2025,6,11,83,C
2025,6,12,86,C
2025,6,13,91,C
2025,6,14,82,C
2025,6,15,82,C
2025,6,16,83,C
2025,6,17,90,C
2025,6,18,82,C
2025,6,19,85,C
2025,6,20,85,C
2025,6,21,81,C
2025,6,22,82,C
2025,6,23,78,C
2025,6,24,76,C
2025,6,25,75,C
2025,6,26,86,C
2025,6,27,86,C
2025,6,28,85,C
2025,6,29,85,C
2025,6,30,85,C
2025,7,1,88,C
2025,7,2,81,C
2025,7,3,77,C
2025,7,4,72,C
2025,7,5,71,C
2025,7,6,70,C
2025,7,7,78,C
2025,7,8,78,C
2025,7,9,79,C
2025,7,10,95,C
2025,7,11,85,C
2025,7,12,86,#
2025,7,13,82,C
2025,7,14,80,C
2025,7,15,82,C
2025,7,16,78,C
2025,7,17,79,C
2025,7,18,86,C
2025,7,19,77,C
2025,7,20,92,C
2025,7,21,93,C
2025,7,22,90,C
2025,7,23,82,C
2025,7,24,77,C
2025,7,25,79,C
2025,7,26,76,C
2025,7,27,78,C
2025,7,28,81,C
2025,7,29,92,C
2025,7,30,86,C
2025,7,31,85,C
2025,8,1,82,C
2025,8,2,93,C
2025,8,3,90,C
2025,8,4,93,C
2025,8,5,94,C
2025,8,6,87,C
2025,8,7,81,C
2025,8,8,81,C
2025,8,9,80,C
2025,8,10,78,C
2025,8,11,80,C
2025,8,12,79,C
2025,8,13,78,C
2025,8,14,94,C
2025,8,15,86,C
2025,8,16,76,C
2025,8,17,86,C
2025,8,18,93,C
2025,8,19,94,C
2025,8,20,83,C
2025,8,21,81,C
2025,8,22,73,C
2025,8,23,73,C
2025,8,24,79,C
2025,8,25,78,C
2025,8,26,74,C
2025,8,27,75,C
2025,8,28,77,C
2025,8,29,73,C
2025,8,30,80,C
2025,8,31,78,C
2025,9,1,77,C
2025,9,2,77,C
2025,9,3,75,C
2025,9,4,74,C
2025,9,5,72,C
2025,9,6,73,C
2025,9,7,87,C
2025,9,8,88,C
2025,9,9,86,C
2025,9,10,82,C
2025,9,11,81,C
2025,9,12,75,C
2025,9,13,73,C
2025,9,14,75,C
2025,9,15,75,C
2025,9,16,76,C
2025,9,17,77,C
2025,9,18,74,C
2025,9,19,72,C
2025,9,20,93,C
2025,9,21,95,C
2025,9,22,73,C
2025,9,23,67,C
2025,9,24,93,#
2025,9,25,87,C
2025,9,26,77,C
2025,9,27,72,C
2025,9,28,80,C
2025,9,29,80,C
2025,9,30,76,C
2025,10,1,75,C
2025,10,2,77,C
2025,10,3,74,C
2025,10,4,69,C
2025,10,5,82,C
2025,10,6,83,C
2025,10,7,72,C
2025,10,8,70,C
2025,10,9,73,C
2025,10,10,76,C
2025,10,11,76,C
2025,10,12,86,C
2025,10,13,84,C
2025,10,14,81,C
2025,10,15,72,C
2025,10,16,73,C
2025,10,17,74,C
2025,10,18,76,C
2025,10,19,67,C
2025,10,20,66,C
2025,10,21,70,C
2025,10,22,76,C
2025,10,23,63,C
2025,10,24,58,C
2025,10,25,57,C
2025,10,26,54,C
2025,10,27,61,C
2025,10,28,73,C
2025,10,29,74,C
2025,10,30,70,C
2025,10,31,66,C
2025,11,1,64,C
2025,11,2,65,C
2025,11,3,62,C
2025,11,4,71,C
2025,11,5,71,C
2025,11,6,76,C
2025,11,7,84,C
2025,11,8,76,C
2025,11,9,73,C
2025,11,10,64,C
2025,11,11,64,C
2025,11,12,61,C
2025,11,13,69,C
2025,11,14,72,C
2025,11,15,63,C
2025,11,16,72,C
2025,11,17,74,C
2025,11,18,56,C
2025,11,19,36,C
2025,11,20,33,C
2025,11,21,34,C
2025,11,22,50,C
2025,11,23,67,C
2025,11,24,63,C
2025,11,25,30,C
2025,11,26,43,C
2025,11,27,24,C
2025,11,28,32,C
2025,11,29,53,C
2025,11,30,63,C
2025,12,1,79,C
2025,12,2,76,C
2025,12,3,65,C
2025,12,4,73,C
2025,12,5,73,C
2025,12,6,74,C
2025,12,7,72,C
2025,12,8,57,C
2025,12,9,67,C
2025,12,10,80,C
2025,12,11,69,C
2025,12,12,71,C
2025,12,13,71,C
2025,12,14,42,C
2025,12,15,52,C
2025,12,16,69,C
2025,12,17,69,C
2025,12,18,74,C
2025,12,19,75,C
2025,12,20,61,C
2025,12,21,74,C
2025,12,22,75,C
2025,12,23,74,C
2025,12,24,78,C
2025,12,25,63,C
2025,12,26,58,C
2025,12,27,66,C
2025,12,28,71,C
2025,12,29,75,C
2025,12,30,73,C
2025,12,31,72,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
